ID,celkova_delka,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
81,22669.58,0,0,0,0,0,6435.85,8607.26,3636.05,3990.42,0,0
82,473.21,0,0,0,0,0,0,473.21,0,0,0,0
83,6628.27,0,0,0,0,2937.7,3599.08,91.5,0,0,0,0
84,17026.79,0,0,0,0,3267.33,6236.4,4488.12,1573.49,1185.77,275.69,0
85,21827.94,2819.57,0,0,0,0,322.21,24.54,944.37,5390.25,8609.89,3717.11
86,10915.95,0,0,0,0,4963.63,4313.42,1324.4,314.49,0,0,0
87,9575.23,0,0,0,0,1558.54,825.15,5341.48,1714.62,135.44,0,0
88,17293.71,0,0,0,0,0,0,3222.76,5165.99,8657.58,247.39,0
89,7758.0,0,0,0,0,3599.12,4086.13,72.76,0,0,0,0
90,22883.25,0,0,0,9912.54,12162.21,808.5,0,0,0,0,0
91,19381.55,202.68,0,0,0,509.82,3919.99,2648.94,2698.08,5813.64,3512.39,76.01
92,9149.37,0,0,0,0,0,0,503.69,6133.97,2467.29,44.43,0
93,16511.98,0,0,0,0,0,0,1001.14,7102.78,4733.93,3674.13,0
94,14957.63,0,0,0,0,0,0,0,9456.51,5501.12,0,0
95,12682.42,0,0,0,0,0,0,1426.68,4326.39,6328.7,600.65,0
96,11930.83,0,0,0,0,0,0,10679.07,1251.76,0,0,0
97,7690.76,0,0,0,0,0,0,1788.92,5160.2,741.64,0,0
98,11999.13,0,0,1680.12,42.93,6864.3,2709.02,702.76,0,0,0,0
99,11935.58,0,0,3608.63,5807.28,1836.45,683.22,0,0,0,0,0
100,11684.92,0,0,0,5661.51,5329.84,693.57,0,0,0,0,0
101,11991.42,0,0,0,0,3694.82,5388.75,2261.45,646.4,0,0,0
102,13025.14,0,0,0,0,4483.58,2586.58,4512.38,1359.89,82.71,0,0
103,10215.29,0,0,0,0,6208.28,2829.82,610.59,566.6,0,0,0
104,31007.96,0,0,0,2821.57,9376.32,14336.95,4215.76,257.36,0,0,0
105,12948.16,0,0,0,3970.47,7171.33,1806.36,0,0,0,0,0
106,9384.81,0,0,0,0,4300.12,583.73,3230.07,1221.7,49.19,0,0
107,19514.0,0,0,0,0,2591.26,1549.74,4507.22,5673.22,3735.05,1457.52,0
108,10781.96,0,0,0,0,0,6434.53,2962.79,653.88,730.75,0,0
109,12424.59,0,0,0,0,0,5172.67,6562.77,689.16,0,0,0
110,18694.45,0,0,0,0,0,6610.32,9391.83,1915.42,776.89,0,0
111,5044.33,0,0,0,0,0,2757.63,1982.01,304.69,0,0,0
112,4222.37,0,0,0,0,0,4222.37,0,0,0,0,0
113,17021.25,0,0,0,0,4343.49,7024.79,5652.97,0,0,0,0
114,21650.85,3434.92,0,0,0,3531.86,10794.11,3630.9,259.06,0,0,0
115,22298.53,22046.77,0,0,0,0,179.9,71.86,0,0,0,0
116,10158.53,10158.53,0,0,0,0,0,0,0,0,0,0
117,17426.45,17426.45,0,0,0,0,0,0,0,0,0,0
118,18738.7,0,0,0,0,3021.44,6625.69,3626.99,3905.76,1151.08,303.57,104.18
119,23450.44,0,0,0,0,0,6813.64,13370.26,3260.47,6.07,0,0
120,37907.88,154.28,0,0,4534.9,9971.85,13430.1,8186.14,1482.52,148.08,0,0
121,24313.51,112.93,0,0,0,0,12377.07,10391.32,1432.2,0,0,0
122,30814.63,0,0,0,0,0,6371.72,12692.08,9252.47,2019.29,479.07,0
123,19182.47,0,0,0,0,0,0,5513.94,9725.97,3942.56,0,0
124,11523.34,0,0,0,0,0,4041.66,5157.31,2324.37,0,0,0
125,10107.18,0,0,0,0,4051.83,5231.11,824.24,0,0,0,0
126,12745.88,0,0,0,0,0,3029.43,7145.37,1439.47,1131.61,0,0
127,11223.43,0,0,0,0,5342.08,5881.35,0,0,0,0,0
128,19379.55,17425.33,0,0,0,0,0,1170.93,783.29,0,0,0
129,19816.91,0,0,0,0,4044.06,12271.61,2726.27,472.37,302.6,0,0
130,14590.42,0,0,0,32.75,537.95,0,3899.55,3977.97,5269.74,872.48,0
131,16071.31,0,0,0,7606.02,6963.29,1502.0,0,0,0,0,0
132,17991.22,0,0,0,0,4285.03,2920.9,4456.56,3896.52,1344.64,1087.57,0
133,33460.18,0,0,0,4511.6,11388.92,10500.6,5286.3,1772.75,0,0,0
134,21172.45,1778.79,0,0,0,7327.15,7442.79,4118.27,505.45,0,0,0
135,15101.4,0,0,0,0,0,0,5239.98,7210.0,2552.51,98.91,0
136,7413.07,0,0,0,0,0,0,2225.35,1939.78,3247.94,0,0
137,8533.21,0,0,0,0,0,2431.73,4174.57,1180.19,746.72,0,0
138,12028.74,0,0,0,0,0,0,3367.02,4780.59,1459.03,1838.01,584.09
139,13576.86,0,0,0,0,0,0,2228.53,2048.89,3858.53,5194.14,246.77
140,7442.64,0,0,0,0,0,3673.52,2623.61,380.45,0,765.07,0
141,7836.8,0,0,0,0,0,1065.25,4742.95,2004.2,24.41,0,0
142,9299.5,0,0,0,0,315.27,4688.68,3853.31,442.24,0,0,0
143,8631.01,0,0,0,0,3530.49,4986.75,113.77,0,0,0,0
144,5536.12,0,0,0,0,0,2537.69,2789.74,208.69,0,0,0
145,11558.98,0,0,0,0,0,4290.5,5641.15,1627.32,0,0,0
146,15145.53,0,0,0,0,0,7824.08,7120.78,200.67,0,0,0
147,20305.66,0,0,0,0,0,1675.72,7324.41,7051.9,3717.28,536.34,0
148,11061.61,0,0,0,1517.89,2255.26,1816.92,0,3504.59,1711.84,255.11,0
149,8151.56,0,0,0,3892.96,3480.8,524.55,131.52,121.72,0,0,0
150,14717.16,0,0,0,1843.46,4109.15,6710.83,1728.37,325.35,0,0,0
151,17424.76,0,0,0,0,6405.31,6579.93,3682.68,756.83,0,0,0
152,18666.35,0,0,0,0,0,739.71,6131.84,5294.74,5231.3,1268.76,0
153,21196.08,0,0,0,0,0,5070.7,11066.08,4319.79,739.51,0,0
154,13207.16,0,0,0,0,0,0,5945.31,6031.02,1230.83,0,0
155,16131.91,0,0,0,0,0,4895.97,9566.35,1544.18,125.41,0,0
156,10784.76,0,0,0,0,0,0,0,3776.64,5411.57,1596.55,0
157,11827.16,0,0,0,0,0,2891.25,7799.26,1136.65,0,0,0
158,11450.0,0,0,0,0,2156.16,7604.44,1590.05,99.35,0,0,0
159,1905.37,0,0,0,0,0,1413.21,492.16,0,0,0,0
160,14486.4,0,0,2205.04,4750.59,5727.66,1620.54,182.57,0,0,0,0
161,18862.8,0,0,0,1040.12,8930.44,6544.5,2242.95,104.79,0,0,0
162,17043.69,0,0,0,2470.85,5541.57,7073.38,1858.0,99.89,0,0,0
163,29559.27,0,0,0,2063.44,9348.06,14177.38,3970.39,0,0,0,0
164,26349.36,0,0,0,0,5157.52,11922.83,8469.86,799.15,0,0,0
165,17487.83,0,0,0,0,0,5646.42,8255.54,2881.36,704.51,0,0
166,19322.38,0,0,0,0,4952.39,6787.61,1732.7,4270.07,1579.62,0,0
167,16141.66,0,0,0,0,0,0,5264.78,8790.22,2086.67,0,0
168,11462.61,0,0,0,0,0,0,0,1534.19,7213.66,2517.73,197.04
169,10043.3,0,0,0,0,0,4363.84,2743.89,2312.83,622.73,0,0
170,19836.2,0,0,0,0,0,7417.86,9253.3,3163.81,1.23,0,0
171,13717.17,0,0,0,0,311.74,4224.53,4910.73,2749.91,1486.34,33.92,0
172,16007.48,1381.05,0,5155.33,7875.68,1595.42,0,0,0,0,0,0
173,14322.17,206.11,0,0,4316.92,8111.91,1378.49,308.74,0,0,0,0
174,21006.24,0,0,0,0,4353.64,7131.29,1572.16,6852.54,1023.62,72.98,0
175,21449.51,0,0,0,0,5078.03,8939.19,4924.7,2140.93,366.66,0,0
176,15700.73,0,0,0,3803.91,6903.51,4856.71,136.59,0,0,0,0
177,13070.87,0,0,0,2303.83,5697.25,4584.25,485.54,0,0,0,0
178,24841.82,0,0,0,4152.46,6162.83,6005.33,7764.98,756.22,0,0,0
179,17570.4,0,0,0,0,0,4709.75,8415.87,3589.74,646.41,208.63,0
180,16874.8,0,0,0,0,0,0,9284.05,6994.73,596.02,0,0
181,18642.09,0,0,0,0,711.02,0,4182.81,9343.84,3755.06,399.85,249.52
182,16481.67,0,0,0,0,0,0,4124.82,7215.03,5016.77,125.05,0
183,12974.76,0,0,0,0,0,0,123.02,6212.11,5105.87,1422.22,111.54
184,17116.7,0,0,0,0,0,3815.11,8715.56,3655.51,930.51,0,0
185,13585.91,0,0,0,0,0,7089.81,4836.34,1659.76,0,0,0
186,0.0,0,0,0,0,0,0,0,0,0,0,0
187,18967.65,0,0,0,0,0,890.72,4062.38,6723.25,6323.86,967.45,0
188,13262.31,0,0,0,0,0,5231.25,7610.12,420.93,0,0,0
189,9185.84,0,0,0,1801.13,5838.82,1461.8,84.09,0,0,0,0
190,15744.43,0,0,0,0,3217.52,9162.16,2386.97,559.07,418.71,0,0
191,18053.5,0,0,0,0,0,0,5368.81,9556.69,3026.09,101.92,0
192,13806.52,0,0,0,0,0,3423.04,3921.69,3417.57,2012.63,1031.6,0
193,18231.51,0,0,0,0,0,0,0,6477.46,8226.86,2583.01,944.18
194,13272.42,0,0,0,0,0,670.63,5972.37,2854.81,2924.58,850.04,0
195,8549.44,5045.63,0,0,0,0,0,0,0,0,1738.04,1765.77
196,14172.61,0,0,0,0,4572.19,7487.99,1163.71,727.88,220.84,0,0
197,12901.2,0,0,0,888.72,8920.02,3092.46,0,0,0,0,0
198,22626.1,0,0,4751.6,16226.06,1562.33,86.12,0,0,0,0,0
199,19879.57,0,0,0,0,5548.99,12303.43,2027.16,0,0,0,0
200,12377.78,0,0,0,0,0,0,449.14,5954.23,5192.6,781.81,0
201,15889.78,0,0,0,0,0,0,682.43,4539.91,7703.78,2511.93,451.72
202,15537.16,0,0,0,0,0,828.29,4795.34,7197.51,2272.55,443.47,0
203,12344.08,0,0,3236.17,5687.72,2961.16,459.03,0,0,0,0,0
