ID,predvyber2000_ANO,vodni_nadrz_rozloha,delka_vrstevnic
321,1,507274.04,181106.77
1402,1,1808412.26,234695.46
1495,1,1195680.06,106083.9
1638,1,743522.78,115294.21
1844,1,380308.47,113233.52
2269,1,1440211.69,143327.91
3671,1,535057.49,101950.27
4709,1,191219.99,145857.29
5823,1,1863032.77,106606.69
5962,1,277233.09,111725.53
6175,1,490443.19,104894.8
6862,1,319084.47,152806.9
7957,1,1893808.29,104732.89
8313,1,858305.19,104704.96
10098,1,1027303.0,111741.89
10242,1,811922.0,106615.93
10495,1,261173.74,155688.22
10997,1,115369.15,107033.72
11325,1,418123.06,220931.77
12269,1,1277542.45,106359.71
12270,1,541140.34,108638.81
12347,1,222283.14,724669.36
12411,1,968061.61,107718.94
12503,1,349933.1,106684.19
14429,1,1644741.65,107718.62
14430,1,172915.78,100161.79
14508,1,257709.61,730939.33
16402,1,165584.7,138387.18
16583,1,1672768.63,107244.61
16729,1,421621.71,110018.87
16948,1,733870.14,164403.49
17058,1,221745.48,200969.6
18960,1,1872351.16,152176.82
19104,1,860867.44,100975.34
19798,1,227259.03,170199.98
20791,1,101154.34,100761.95
20850,1,239635.2,211270.77
20909,1,187789.58,746219.14
21018,1,255085.92,138953.47
21020,1,242200.48,108904.37
21238,1,467136.97,109086.35
21625,1,742713.56,169393.13
23005,1,210818.23,130646.91
23064,1,155703.94,743470.17
23174,1,212720.26,150908.53
24724,1,557007.73,219359.23
25338,1,213547.36,148448.07
25412,1,1927854.01,143105.85
26840,1,1171669.74,337907.46
27300,1,1634789.42,106774.2
27494,1,216735.62,102024.64
27665,1,303716.94,199401.09
27707,1,558152.53,137247.32
29093,1,329692.48,180009.48
29450,1,1609845.29,107856.68
29533,1,255578.76,788135.72
29644,1,245283.32,125907.59
30169,1,877036.16,114728.52
30394,1,603204.48,316851.45
31677,1,218565.97,790388.65
31788,1,212704.41,129143.42
31859,1,1091680.49,210542.74
33287,1,1316550.87,315027.39
33750,1,985341.25,109385.2
33943,1,226988.54,124337.93
33996,1,198331.82,103100.09
34155,1,682996.5,127025.92
18,1,1857004.71,208307.88
19,1,1591913.35,307885.17
21,1,775068.19,308955.22
38,1,1137656.24,212751.95
76,1,252091.41,202162.53
154,1,253399.91,158321.0
177,1,1277543.08,173895.67
183,1,627804.74,137618.89
205,1,376546.41,126570.59
238,1,220852.59,242177.13
246,1,236386.67,223041.3
247,1,214711.57,233165.78
268,1,792753.26,259086.55
278,1,365464.71,165456.42
279,1,734803.8,238971.67
306,1,498437.85,189788.48
312,1,459842.41,114703.47
313,1,1149032.59,139645.13
314,1,581960.17,182798.32
315,1,526355.55,142175.76
316,1,1027210.97,156882.2
339,1,376361.47,257849.15
345,1,725274.85,175242.4
348,1,511052.89,113591.44
352,1,394169.09,166126.83
358,1,208212.13,335546.21
360,1,695607.93,141576.87
361,1,664632.91,161880.1
362,1,210086.38,372858.1
382,1,501847.07,149785.16
384,1,849939.46,161981.6
391,1,338721.87,262683.74
394,1,305691.67,177475.4
402,1,182456.42,134563.72
422,1,352535.09,368034.99
423,1,577503.51,246748.13
428,1,274278.83,147880.92
457,1,197667.2,229220.75
462,1,232699.21,203654.27
466,1,945482.51,136690.23
470,1,596430.65,202591.14
479,1,359980.82,180563.92
499,1,303771.63,181219.79
502,1,196397.37,249453.51
504,1,1159643.27,327141.34
512,1,226610.32,310605.64
517,1,781149.39,176558.96
541,1,1009911.94,211214.42
543,1,431597.78,200268.82
545,1,299946.4,202019.41
548,1,517997.54,157189.93
552,1,531450.76,141454.13
559,1,507939.92,300480.27
564,1,614064.37,152667.62
581,1,286981.69,393935.05
583,1,1444600.63,114160.01
586,1,157336.71,205020.69
588,1,261619.73,245069.37
633,1,602412.22,192093.57
635,1,307736.41,170232.24
636,1,438609.12,221546.8
661,1,208490.69,304824.82
667,1,359099.66,245511.75
697,1,459664.02,180773.11
698,1,169345.12,211428.69
706,1,148383.14,256692.67
731,1,534208.47,212064.29
741,1,418104.95,156488.28
742,1,267494.03,162009.37
758,1,752891.29,508440.95
805,1,344461.4,232819.61
807,1,367000.12,128758.76
841,1,286744.18,231409.9
847,1,213537.27,248708.73
852,1,585513.03,286544.3
878,1,445213.47,496068.35
896,1,457431.83,247604.34
898,1,279065.37,311210.93
939,1,415238.53,239686.14
943,1,637121.96,220375.62
945,1,237382.58,243486.51
978,1,854085.47,356536.97
979,1,847261.7,246911.45
980,1,1443589.05,300860.37
987,1,296232.18,212769.67
1031,1,955424.87,197682.39
1041,1,122794.8,290026.52
1046,1,320783.11,136974.68
1052,1,572379.78,219359.8
1096,1,185758.16,175898.83
1106,1,833623.06,150714.9
1121,1,901025.3,129928.83
1122,1,607465.8,233275.5
1135,1,371537.82,200148.12
1181,1,502654.14,445664.5
1192,1,1137399.11,128659.29
1206,1,385000.1,160524.96
1320,1,100323.3,104238.05
1352,1,268857.56,369940.35
1355,1,401556.73,211224.35
1442,1,350073.32,116305.22
1462,1,185352.37,384768.68
1494,1,836721.04,104199.11
1658,1,616093.1,269961.58
1659,1,640691.69,271281.1
1666,1,230319.38,192435.71
1734,1,347549.54,179982.0
1740,1,255124.23,157962.04
1745,1,324550.12,104406.45
1783,1,276863.01,187726.6
1795,1,232881.96,100399.28
1867,1,358721.64,117696.38
1955,1,255417.23,200809.9
1957,1,658077.28,129264.88
1985,1,582088.58,298997.84
2048,1,242395.76,112358.65
2069,1,136139.0,204319.34
2139,1,336997.14,362732.62
2161,1,340225.61,445156.6
2197,1,1571761.77,283051.77
2242,1,635003.9,116572.73
2275,1,1002223.01,222554.83
2347,1,573341.27,225953.94
