ID,predvyber_ANO
11,1
18,1
19,1
21,1
37,1
38,1
61,1
70,1
76,1
81,1
90,1
101,1
112,1
126,1
130,1
154,1
171,1
174,1
177,1
183,1
205,1
238,1
239,1
240,1
244,1
246,1
247,1
268,1
278,1
279,1
306,1
312,1
313,1
314,1
315,1
316,1
339,1
345,1
347,1
348,1
352,1
358,1
360,1
361,1
362,1
382,1
384,1
391,1
394,1
402,1
418,1
420,1
422,1
423,1
428,1
457,1
462,1
466,1
470,1
479,1
499,1
502,1
504,1
512,1
517,1
541,1
543,1
545,1
548,1
552,1
559,1
564,1
581,1
583,1
586,1
588,1
633,1
635,1
636,1
661,1
667,1
682,1
697,1
698,1
706,1
728,1
731,1
741,1
742,1
758,1
805,1
807,1
841,1
847,1
852,1
878,1
882,1
896,1
898,1
901,1
918,1
927,1
939,1
943,1
945,1
978,1
979,1
980,1
983,1
987,1
1031,1
1041,1
1046,1
1052,1
1077,1
1082,1
1096,1
1106,1
1121,1
1122,1
1135,1
1181,1
1192,1
1206,1
1238,1
1264,1
1274,1
1320,1
1322,1
1324,1
1325,1
1352,1
1355,1
1441,1
1442,1
1460,1
1461,1
1462,1
1494,1
1498,1
1519,1
1559,1
1588,1
1590,1
1658,1
1659,1
1660,1
1666,1
1676,1
1685,1
1708,1
1714,1
1734,1
1738,1
1740,1
1745,1
1756,1
1767,1
1783,1
1795,1
1811,1
1813,1
1867,1
1955,1
1957,1
1985,1
2044,1
2048,1
2049,1
2069,1
2083,1
2139,1
2161,1
2168,1
2169,1
2173,1
2174,1
2176,1
2197,1
2199,1
2223,1
2242,1
2243,1
2253,1
2259,1
2275,1
2291,1
2296,1
2305,1
2343,1
2346,1
2347,1
2354,1
2365,1
2410,1
2412,1
2413,1
2417,1
2440,1
2444,1
2448,1
2450,1
2451,1
2475,1
2481,1
2482,1
2484,1
2485,1
2508,1
2516,1
2517,1
2521,1
2522,1
2530,1
2531,1
2550,1
2552,1
2553,1
2555,1
2558,1
2560,1
2563,1
2591,1
2593,1
2594,1
2597,1
2630,1
2639,1
2643,1
2645,1
2650,1
2662,1
2670,1
2673,1
2675,1
2685,1
2690,1
2714,1
2716,1
2718,1
2721,1
2729,1
2731,1
2752,1
2753,1
2801,1
2828,1
2830,1
2836,1
2863,1
2864,1
2869,1
2874,1
2921,1
2927,1
2948,1
2975,1
2989,1
3010,1
3016,1
3030,1
3044,1
3048,1
3051,1
3065,1
3067,1
3070,1
3071,1
3145,1
3146,1
3147,1
3151,1
3155,1
3196,1
3202,1
3210,1
3252,1
3268,1
3292,1
3293,1
3322,1
3366,1
3367,1
3380,1
3396,1
3426,1
3441,1
3451,1
3493,1
3494,1
3496,1
3498,1
3521,1
3526,1
3530,1
3578,1
3587,1
3614,1
3616,1
3630,1
3633,1
3634,1
3664,1
3665,1
3670,1
3714,1
3717,1
3760,1
3769,1
3775,1
3808,1
3831,1
3832,1
3833,1
3848,1
3857,1
3887,1
3903,1
3905,1
3911,1
3915,1
3930,1
3933,1
3951,1
3964,1
3977,1
3979,1
3980,1
3982,1
3993,1
4005,1
4020,1
4038,1
4058,1
4060,1
4079,1
4088,1
4122,1
4124,1
4186,1
4204,1
4209,1
4249,1
4300,1
4324,1
4325,1
4332,1
4334,1
4355,1
4366,1
4389,1
4391,1
4395,1
4396,1
4415,1
4419,1
4426,1
4433,1
4449,1
4453,1
4460,1
4477,1
4499,1
4500,1
4508,1
4518,1
4528,1
4536,1
4562,1
4564,1
4565,1
4567,1
4568,1
4586,1
4587,1
4588,1
4592,1
4596,1
4598,1
4599,1
4600,1
4618,1
4624,1
4625,1
4631,1
4632,1
4633,1
4634,1
4661,1
4665,1
4666,1
4667,1
4672,1
4673,1
4682,1
4683,1
4684,1
4696,1
4704,1
4706,1
4707,1
4713,1
4714,1
4743,1
4745,1
4748,1
4750,1
4752,1
4770,1
4779,1
4780,1
4787,1
4790,1
4791,1
4793,1
4797,1
4825,1
4833,1
4841,1
4852,1
4865,1
4866,1
4868,1
4873,1
4893,1
4901,1
4903,1
4908,1
4931,1
4952,1
4979,1
4983,1
4988,1
5014,1
5015,1
5026,1
5043,1
5066,1
5070,1
5120,1
5139,1
5168,1
5190,1
5195,1
5199,1
5217,1
5221,1
5222,1
5223,1
5254,1
5286,1
5296,1
5301,1
5302,1
5303,1
5310,1
5329,1
5348,1
5356,1
5361,1
5367,1
5397,1
5410,1
5417,1
5438,1
5454,1
5499,1
5514,1
5515,1
5529,1
5544,1
5590,1
5601,1
5645,1
5648,1
5650,1
5704,1
5707,1
5739,1
5767,1
5770,1
5786,1
5791,1
5819,1
5828,1
5870,1
5883,1
5912,1
5913,1
5919,1
5959,1
5967,1
5982,1
5983,1
6007,1
6035,1
6053,1
6055,1
6060,1
6082,1
6101,1
6114,1
6120,1
6127,1
6128,1
6129,1
6130,1
6131,1
6144,1
6157,1
6192,1
6222,1
6244,1
6281,1
6307,1
6308,1
6344,1
6482,1
6483,1
6490,1
6511,1
6524,1
6532,1
6546,1
6550,1
6570,1
6574,1
6604,1
6605,1
6611,1
6626,1
6637,1
6642,1
6649,1
6651,1
6657,1
6677,1
6679,1
6712,1
6713,1
6717,1
6719,1
6720,1
6738,1
6743,1
6744,1
6749,1
6751,1
6776,1
6778,1
6784,1
6785,1
6786,1
6787,1
6789,1
6809,1
6813,1
6814,1
6815,1
6817,1
6818,1
6819,1
6820,1
6822,1
6823,1
6828,1
6831,1
6832,1
6843,1
6849,1
6850,1
6852,1
6859,1
6860,1
6888,1
6889,1
6894,1
6896,1
6927,1
6932,1
6936,1
6939,1
6943,1
6964,1
6966,1
6970,1
6975,1
6981,1
6982,1
6993,1
7006,1
7008,1
7009,1
7013,1
7023,1
7027,1
7030,1
7034,1
7046,1
7048,1
7052,1
7057,1
7089,1
7091,1
7095,1
7100,1
7103,1
7124,1
7141,1
7157,1
7182,1
7183,1
7185,1
7198,1
7206,1
7239,1
7261,1
7264,1
7283,1
7311,1
7331,1
7334,1
7337,1
7338,1
7344,1
7351,1
7353,1
7357,1
7376,1
7387,1
7388,1
7406,1
7426,1
7438,1
7439,1
7440,1
7446,1
7447,1
7450,1
7483,1
7485,1
7495,1
7506,1
7517,1
7535,1
7537,1
7554,1
7565,1
7580,1
7592,1
7634,1
7650,1
7664,1
7679,1
7722,1
7734,1
7780,1
7782,1
7784,1
7785,1
7812,1
7842,1
7873,1
7904,1
7905,1
7922,1
7949,1
7960,1
7962,1
7977,1
7984,1
8002,1
8012,1
8014,1
8029,1
8040,1
8044,1
8045,1
8052,1
8096,1
8115,1
8116,1
8118,1
8124,1
8135,1
8136,1
8143,1
8172,1
8192,1
8197,1
8205,1
8211,1
8220,1
8222,1
8238,1
8252,1
8264,1
8266,1
8268,1
8269,1
8282,1
8329,1
8350,1
8383,1
8419,1
8421,1
8447,1
8449,1
8529,1
8570,1
8604,1
8628,1
8630,1
8638,1
8650,1
8668,1
8670,1
8671,1
8683,1
8687,1
8692,1
8714,1
8720,1
8726,1
8743,1
8752,1
8780,1
8784,1
8788,1
8790,1
8796,1
8799,1
8819,1
8823,1
8825,1
8848,1
8849,1
8853,1
8854,1
8877,1
8882,1
8884,1
8885,1
8910,1
8914,1
8917,1
8918,1
8919,1
8920,1
8951,1
8955,1
8956,1
8957,1
8967,1
8968,1
8969,1
8990,1
8992,1
8993,1
8996,1
9001,1
9022,1
9024,1
9028,1
9033,1
9034,1
9053,1
9062,1
9065,1
9066,1
9075,1
9079,1
9080,1
9088,1
9107,1
9108,1
9121,1
9126,1
9139,1
9150,1
9152,1
9154,1
9157,1
9165,1
9171,1
9179,1
9190,1
9194,1
9197,1
9199,1
9237,1
9238,1
9240,1
9246,1
9247,1
9274,1
9308,1
9314,1
9318,1
9346,1
9361,1
9384,1
9411,1
9448,1
9479,1
9487,1
9501,1
9503,1
9533,1
9534,1
9547,1
9551,1
9560,1
9585,1
9587,1
9591,1
9594,1
9610,1
9635,1
9638,1
9648,1
9653,1
9660,1
9690,1
9709,1
9718,1
9735,1
9737,1
9738,1
9746,1
9748,1
9756,1
9766,1
9777,1
9808,1
9819,1
9824,1
9842,1
9874,1
9884,1
9885,1
9886,1
9923,1
9924,1
9926,1
9928,1
9929,1
9951,1
9953,1
9954,1
9956,1
9957,1
9965,1
10003,1
10010,1
10011,1
10012,1
10038,1
10039,1
10061,1
10062,1
10092,1
10121,1
10130,1
10150,1
10151,1
10152,1
10157,1
10192,1
10193,1
10235,1
10260,1
10262,1
10263,1
10279,1
10307,1
10316,1
10336,1
10337,1
10346,1
10365,1
10366,1
10382,1
10383,1
10393,1
10409,1
10410,1
10435,1
10511,1
10559,1
10561,1
10589,1
10592,1
10656,1
10679,1
10691,1
10790,1
10791,1
10807,1
10811,1
10825,1
10829,1
10831,1
10853,1
10855,1
10872,1
10883,1
10888,1
10916,1
10952,1
10953,1
10954,1
10955,1
10965,1
10974,1
10981,1
11002,1
11013,1
11016,1
11019,1
11020,1
11043,1
11044,1
11049,1
11050,1
11053,1
11054,1
11056,1
11071,1
11077,1
11081,1
11083,1
11084,1
11085,1
11086,1
11087,1
11112,1
11123,1
11128,1
11136,1
11137,1
11138,1
11156,1
11159,1
11160,1
11166,1
11167,1
11171,1
11198,1
11202,1
11206,1
11215,1
11228,1
11241,1
11249,1
11253,1
11254,1
11273,1
11278,1
11279,1
11280,1
11293,1
11296,1
11327,1
11330,1
11339,1
11364,1
11369,1
11408,1
11410,1
11415,1
11438,1
11440,1
11444,1
11471,1
11472,1
11477,1
11478,1
11484,1
11520,1
11526,1
11547,1
11550,1
11578,1
11589,1
11610,1
11622,1
11629,1
11641,1
11645,1
11648,1
11662,1
11664,1
11669,1
11687,1
11696,1
11697,1
11713,1
11744,1
11745,1
11746,1
11754,1
11793,1
11797,1
11800,1
11833,1
11854,1
11860,1
11861,1
11874,1
11900,1
11901,1
11913,1
11920,1
11925,1
11929,1
11940,1
11982,1
12023,1
12034,1
12045,1
12046,1
12092,1
12093,1
12095,1
12097,1
12122,1
12126,1
12128,1
12175,1
12183,1
12184,1
12185,1
12210,1
12232,1
12299,1
12301,1
12318,1
12321,1
12328,1
12346,1
12361,1
12376,1
12404,1
12405,1
12431,1
12432,1
12456,1
12461,1
12483,1
12494,1
12501,1
12514,1
12531,1
12532,1
12550,1
12551,1
12552,1
12553,1
12570,1
12579,1
12580,1
12581,1
12584,1
12608,1
12624,1
12688,1
12763,1
12766,1
12854,1
12863,1
12929,1
12948,1
12953,1
12962,1
12976,1
12992,1
12998,1
13010,1
13012,1
13016,1
13017,1
13040,1
13046,1
13066,1
13079,1
13083,1
13112,1
13117,1
13118,1
13127,1
13136,1
13141,1
13144,1
13164,1
13177,1
13183,1
13184,1
13185,1
13205,1
13206,1
13207,1
13210,1
13212,1
13215,1
13216,1
13217,1
13241,1
13243,1
13247,1
13248,1
13251,1
13275,1
13283,1
13284,1
13285,1
13290,1
13299,1
13300,1
13318,1
13321,1
13322,1
13326,1
13329,1
13330,1
13334,1
13354,1
13361,1
13364,1
13365,1
13367,1
13373,1
13385,1
13393,1
13397,1
13404,1
13408,1
13409,1
13411,1
13427,1
13446,1
13452,1
13465,1
13479,1
13481,1
13484,1
13498,1
13509,1
13518,1
13521,1
13524,1
13526,1
13545,1
13568,1
13574,1
13598,1
13630,1
13635,1
13653,1
13656,1
13658,1
13673,1
13690,1
13707,1
13731,1
13776,1
13797,1
13801,1
13819,1
13820,1
13827,1
13855,1
13876,1
13905,1
13908,1
13909,1
13910,1
13919,1
13940,1
13955,1
13959,1
13980,1
13983,1
13990,1
14025,1
14029,1
14032,1
14071,1
14128,1
14142,1
14184,1
14194,1
14204,1
14206,1
14255,1
14257,1
14280,1
14284,1
14286,1
14313,1
14343,1
14344,1
14370,1
14390,1
14423,1
14458,1
14461,1
14478,1
14481,1
14487,1
14523,1
14524,1
14570,1
14571,1
14597,1
14598,1
14621,1
14638,1
14668,1
14670,1
14698,1
14716,1
14717,1
14719,1
14737,1
14742,1
14744,1
14745,1
14746,1
14747,1
14774,1
14838,1
14842,1
14937,1
15034,1
15099,1
15123,1
15125,1
15132,1
15137,1
15179,1
15182,1
15183,1
15206,1
15213,1
15234,1
15243,1
15247,1
15268,1
15276,1
15278,1
15288,1
15298,1
15306,1
15324,1
15337,1
15338,1
15343,1
15344,1
15345,1
15363,1
15365,1
15373,1
15374,1
15376,1
15398,1
15399,1
15402,1
15403,1
15405,1
15406,1
15409,1
15410,1
15431,1
15435,1
15439,1
15440,1
15441,1
15452,1
15453,1
15454,1
15475,1
15476,1
15477,1
15483,1
15487,1
15505,1
15514,1
15518,1
15521,1
15546,1
15548,1
15553,1
15558,1
15562,1
15563,1
15565,1
15570,1
15591,1
15592,1
15602,1
15608,1
15620,1
15632,1
15633,1
15650,1
15656,1
15663,1
15675,1
15676,1
15681,1
15684,1
15697,1
15718,1
15722,1
15727,1
15728,1
15733,1
15735,1
15754,1
15755,1
15761,1
15770,1
15787,1
15794,1
15813,1
15815,1
15826,1
15836,1
15851,1
15866,1
15884,1
15890,1
15936,1
15937,1
15957,1
15959,1
15962,1
15975,1
15976,1
15983,1
16011,1
16012,1
16029,1
16059,1
16063,1
16065,1
16072,1
16076,1
16116,1
16134,1
16139,1
16146,1
16186,1
16196,1
16214,1
16215,1
16223,1
16225,1
16234,1
16242,1
16256,1
16294,1
16336,1
16347,1
16360,1
16362,1
16404,1
16405,1
16407,1
16409,1
16410,1
16432,1
16436,1
16438,1
