ID,zeleznice_delka,vrstevnice_pocet,vodni_plohy_rozloha,dibA02_delka,relief_rozloha,zastavba_rozloha
103,2438.35,85.0,192856.89,16166.53,2412.25,414925.85
104,5089.88,56.0,342418.0,3626.59,0.0,777753.06
105,2780.69,64.0,2308801.33,8175.24,0.0,999996.57
106,8139.84,92.0,491540.9,7040.64,68934.41,567359.41
107,7632.42,115.0,83219.15,3391.32,0.0,908595.79
108,1743.82,118.0,109387.67,1728.44,1261.94,1080645.31
109,5217.16,125.0,78977.69,2000.68,0.0,861348.18
110,3452.7,119.0,29448.07,8995.89,0.0,634710.77
111,4619.96,172.0,18717.25,3792.38,11880.95,1233843.62
112,9049.35,31.0,1733578.31,9238.71,0.0,1448672.65
113,2888.95,53.0,30372.92,1524.46,0.0,771272.87
114,8711.87,31.0,74141.78,9557.27,71720.65,1157883.82
115,5359.45,33.0,239897.79,2513.42,0.0,245735.06
116,2604.88,14.0,459713.24,10570.32,78117.14,2931948.21
117,3638.24,40.0,69700.14,9051.72,4515.93,942205.49
118,4553.26,85.0,61255.72,7311.83,0.0,1422499.7
119,5475.35,155.0,48394.79,8120.93,0.0,812850.95
120,8328.05,168.0,23107.06,10157.26,71.94,71224.64
121,1173.24,311.0,2783.23,5177.77,3458.39,11354.7
122,2081.46,173.0,8090.81,5770.02,12.99,189097.94
123,3440.39,152.0,46551.44,14382.2,5.99,236015.3
124,3528.52,17.0,442983.07,7795.76,2632.67,6063543.35
125,23146.43,48.0,352529.39,13594.89,59482.35,6534855.02
126,3783.85,8.0,486534.72,10780.57,2603.7,606181.17
127,678.82,38.0,2919063.38,11059.16,0.0,250160.55
128,4182.23,107.0,58725.44,11430.71,0.0,685167.15
129,4359.37,36.0,1152.18,2528.43,0.0,497064.96
130,4080.58,6.0,2117697.45,5049.89,0.0,726244.78
131,6738.72,9.0,194942.34,10267.18,46358.66,1604250.82
132,2374.85,57.0,208400.83,7457.48,1.46,609445.0
133,345.22,147.0,53999.07,3525.11,0.0,464644.85
134,6834.17,48.0,164418.34,6377.95,0.0,899273.19
135,4020.38,66.0,37443.64,2559.93,0.0,1278698.7
136,476.02,99.0,10858.46,6661.15,0.0,1104710.93
137,7634.67,33.0,147409.75,9094.78,9721.23,572458.55
138,5389.71,31.0,571133.7,4749.33,30623.19,864915.85
139,11062.44,31.0,344277.77,15144.74,42419.47,1903673.51
140,12112.21,28.0,92271.15,4922.04,0.0,2245567.21
141,3737.06,77.0,1869.39,9543.32,0.0,1042551.27
142,3378.6,251.0,3850.53,9088.09,19.98,16454.06
143,1299.36,251.0,35997.94,11370.52,30325.9,87053.73
144,6803.35,322.0,21475.6,11253.16,14109.11,1960537.46
145,10248.05,15.0,1815416.37,14326.86,0.0,3602009.36
146,6765.48,50.0,372453.39,21482.47,13403.08,3101307.32
147,5885.43,14.0,1832616.67,33546.04,0.0,2199507.06
148,2955.05,8.0,1957403.31,33588.91,2078.4,20105.51
149,2596.5,124.0,246607.37,14051.62,0.0,804610.99
150,4062.78,145.0,96599.63,14177.85,0.0,457157.8
151,2758.55,99.0,74476.88,12178.43,0.0,1013407.02
152,792.1,78.0,95959.76,18069.51,0.0,644555.2
153,2422.96,40.0,193652.95,16906.24,0.0,717742.75
154,3842.76,110.0,253399.91,15456.34,6637.09,753337.89
155,5882.78,123.0,18069.55,2004.89,20926.78,1471075.79
156,662.07,21.0,202071.43,8045.37,0.0,1873589.5
157,4000.93,22.0,8417.19,1742.99,1803.42,608571.43
158,161.59,149.0,3676.75,8150.7,0.0,1217696.47
159,6914.59,100.0,145316.35,2698.93,0.0,652618.99
160,1625.18,95.0,10932.98,7942.73,0.0,1424708.42
161,8444.78,65.0,24777.91,9444.22,0.0,710997.31
162,7725.11,77.0,150835.51,5863.53,0.0,1882607.38
163,5649.99,119.0,8733.45,17084.52,0.0,1813335.09
164,10029.15,68.0,354561.06,11211.25,0.0,1385523.92
165,2239.41,11.0,646008.07,16164.46,16934.19,871507.61
166,7704.92,11.0,407077.76,9681.37,0.0,3094230.7
167,9128.93,215.0,4429.86,18528.79,19.98,605875.22
168,1684.33,144.0,2323.37,8693.95,42561.1,463173.57
169,5165.43,239.0,180568.01,7699.99,27276.08,1853274.61
170,1007.51,92.0,982240.9,15337.23,20821.47,1175785.92
171,4612.21,21.0,4022803.21,10403.62,25355.35,539802.56
172,7290.17,56.0,1127979.79,22113.44,11753.91,3039626.95
173,2613.97,74.0,22507.5,19389.86,7362.11,679055.68
174,3561.05,35.0,3000648.47,12084.57,0.0,301856.88
175,1464.81,11.0,6466251.26,8642.96,21101.11,402140.46
176,1642.46,105.0,194189.48,13872.44,5572.9,609128.88
177,5105.99,63.0,1330876.54,16032.93,1.0,323263.98
178,4994.66,98.0,97883.78,13703.56,0.0,503289.34
179,2786.48,66.0,89139.36,15340.95,0.0,355175.03
180,1946.01,140.0,55768.67,15435.02,4518.75,396125.44
181,4169.26,52.0,76967.3,15979.89,2415.39,583038.02
182,5070.09,73.0,40195.58,14338.55,4115.35,135976.63
183,4625.84,65.0,688929.65,10776.88,0.0,546587.84
184,5849.85,29.0,58176.86,7218.98,1223.63,2164264.94
185,2776.23,84.0,66337.09,14381.62,935.29,1058811.78
186,8402.61,69.0,475356.03,14366.89,17995.83,2055128.41
187,2980.39,121.0,19154.66,2445.68,18354.4,591666.81
188,7040.19,16.0,138008.88,2537.95,15516.3,2627499.97
189,774.44,65.0,160135.42,791.16,6914.18,1305540.22
190,2681.67,88.0,68018.59,6208.73,1.0,766332.11
191,4791.58,92.0,112701.73,6814.63,0.0,889972.47
192,4241.92,143.0,26173.8,14222.49,0.0,1137918.19
193,7813.9,72.0,16410.82,12964.45,10332.48,3177309.59
194,4455.77,42.0,22342.44,19391.71,0.0,1124336.14
195,1443.55,6.0,3723302.78,10565.52,0.0,851731.35
196,3334.11,60.0,55441.74,10714.09,23682.61,1569509.18
197,6689.47,131.0,66154.46,10049.88,6400.3,2109831.45
198,4597.18,85.0,19205.32,12053.45,0.0,959021.22
199,2155.29,159.0,34067.42,17443.73,0.0,841624.73
200,1960.3,185.0,25147.62,20705.26,0.0,859445.62
201,5277.42,213.0,47583.06,7673.28,5543.46,1654283.32
202,1330.42,196.0,116601.72,8948.45,9615.27,494448.5
203,4225.1,112.0,103415.23,8389.04,22535.24,1284462.29
204,397.42,97.0,185885.51,7739.46,1622.02,559323.27
205,4567.18,63.0,376546.41,15525.07,2915.45,546454.14
206,9372.95,41.0,2017028.51,13235.46,255997.21,1300443.24
207,2848.89,84.0,1087971.52,14470.27,32913.43,701038.7
208,4435.08,204.0,33007.38,19546.61,8069.64,504592.3
209,3111.62,54.0,160650.79,10081.7,0.0,589345.45
210,5136.8,31.0,2961965.92,23726.46,0.0,865766.5
211,4951.26,135.0,164793.68,11419.71,115141.73,127875.46
212,5557.37,89.0,310109.27,10318.81,0.0,2187685.43
213,6171.12,66.0,126890.83,7614.68,0.0,1328528.98
214,2580.63,63.0,129532.48,7064.57,0.0,904650.15
215,2995.13,108.0,65541.75,13539.95,0.0,1272402.94
216,4284.76,66.0,20835.56,12950.02,17593.13,990003.85
217,2456.62,106.0,41681.86,10063.0,2962.23,663183.26
218,630.12,119.0,85763.11,5552.69,44701.67,885765.03
219,5870.48,227.0,60450.65,9342.62,42365.07,570955.66
220,4026.89,207.0,101376.1,3942.15,49634.18,1236613.89
221,4016.92,33.0,132396.52,1061.96,5494.92,1324483.31
222,2013.98,109.0,30453.51,19323.62,3344.47,1662749.84
223,758.95,123.0,4167.67,12620.26,0.0,1132811.46
224,3595.51,160.0,723.62,17344.87,4293.08,770646.54
225,444.06,76.0,10447.76,10439.67,4095.75,1389102.05
226,7531.26,8.0,576475.31,4893.91,26533.04,1060940.9
227,10188.55,26.0,118340.04,5290.85,0.0,5421435.13
228,4572.27,118.0,90780.52,9249.53,0.0,1644303.11
229,4010.14,112.0,56662.38,10742.08,0.0,1271711.28
230,2638.18,140.0,31956.77,16068.85,10251.08,1897071.46
231,6477.82,93.0,97893.89,9798.81,8334.73,1321386.56
