ID,vhodny_ziv,vhodny_soucet,vhodny_pocet,vrstevnice_orig
845,20,137.0,29.0,171.0
846,20,113.0,30.0,289.0
847,10,161.0,45.0,229.0
848,20,110.0,26.0,152.0
849,20,117.0,30.0,227.0
850,5,83.0,26.0,41.0
851,20,111.0,27.0,191.0
852,20,127.0,31.0,312.0
853,20,116.0,34.0,435.0
854,5,174.0,48.0,175.0
855,10,100.0,29.0,92.0
856,10,93.0,28.0,143.0
857,5,81.0,27.0,39.0
858,10,117.0,29.0,129.0
859,10,145.0,42.0,239.0
860,5,150.0,43.0,101.0
861,10,80.0,21.0,93.0
862,10,82.0,25.0,49.0
863,10,110.0,26.0,108.0
864,10,167.0,45.0,296.0
865,5,162.0,43.0,105.0
866,5,96.0,24.0,45.0
867,5,106.0,27.0,75.0
868,5,152.0,49.0,67.0
869,10,89.0,19.0,112.0
870,10,120.0,37.0,176.0
871,5,98.0,38.0,105.0
872,5,148.0,44.0,146.0
873,10,95.0,28.0,140.0
874,10,91.0,27.0,158.0
875,5,89.0,39.0,102.0
