ID,vhodny_ziv,vhodny_soucet,vhodny_pocet,vrstevnice_orig
190,5,123.0,34.0,66.0
191,5,115.0,37.0,124.0
192,5,121.0,35.0,100.0
193,5,134.0,33.0,184.0
194,5,123.0,36.0,56.0
195,10,168.0,36.0,253.0
196,5,165.0,41.0,93.0
197,5,150.0,52.0,84.0
198,10,112.0,28.0,85.0
199,10,93.0,20.0,50.0
200,10,77.0,25.0,91.0
201,5,123.0,37.0,130.0
202,20,97.0,23.0,404.0
203,99999,99999.0,99999.0,26.0
204,99999,99999.0,99999.0,11.0
205,10,86.0,26.0,141.0
206,10,126.0,39.0,181.0
207,10,122.0,31.0,114.0
208,20,88.0,26.0,167.0
209,5,117.0,34.0,122.0
210,5,108.0,32.0,69.0
211,5,116.0,38.0,134.0
212,5,133.0,47.0,89.0
213,5,149.0,42.0,76.0
214,10,93.0,24.0,115.0
215,10,91.0,25.0,107.0
216,10,87.0,21.0,82.0
217,5,68.0,24.0,62.0
218,10,106.0,25.0,66.0
219,10,102.0,27.0,104.0
220,10,95.0,20.0,121.0
221,5,144.0,39.0,91.0
222,5,84.0,29.0,87.0
223,20,112.0,27.0,286.0
224,5,103.0,33.0,39.0
225,5,69.0,12.0,32.0
226,99999,99999.0,99999.0,4.0
227,20,101.0,28.0,214.0
228,10,88.0,24.0,175.0
229,5,74.0,25.0,89.0
230,10,91.0,28.0,181.0
231,5,134.0,40.0,115.0
232,5,127.0,36.0,69.0
233,10,96.0,21.0,121.0
234,5,97.0,33.0,100.0
235,5,157.0,45.0,142.0
236,99999,99999.0,99999.0,22.0
237,99999,99999.0,99999.0,2.0
238,99999,99999.0,99999.0,5.0
239,20,137.0,40.0,287.0
240,20,90.0,21.0,109.0
241,5,163.0,54.0,111.0
242,5,156.0,42.0,121.0
243,5,97.0,30.0,81.0
244,99999,99999.0,99999.0,5.0
245,99999,99999.0,99999.0,20.0
246,5,130.0,40.0,102.0
247,20,53.0,18.0,190.0
248,20,92.0,25.0,227.0
249,99999,99999.0,99999.0,8.0
250,5,80.0,20.0,36.0
251,99999,99999.0,99999.0,30.0
252,20,81.0,20.0,107.0
253,5,159.0,44.0,94.0
254,5,133.0,45.0,60.0
255,5,169.0,47.0,81.0
256,5,161.0,44.0,133.0
257,10,85.0,19.0,53.0
258,5,74.0,19.0,28.0
259,5,151.0,50.0,106.0
260,99999,99999.0,99999.0,41.0
261,99999,99999.0,99999.0,21.0
262,5,164.0,46.0,77.0
263,99999,99999.0,99999.0,44.0
264,5,143.0,37.0,49.0
265,10,101.0,27.0,206.0
266,10,95.0,24.0,163.0
267,5,117.0,35.0,83.0
268,5,162.0,59.0,153.0
269,10,69.0,21.0,60.0
270,10,126.0,30.0,167.0
271,5,78.0,19.0,37.0
272,10,88.0,29.0,92.0
273,5,111.0,35.0,50.0
274,5,84.0,23.0,56.0
275,10,146.0,33.0,220.0
276,5,70.0,26.0,53.0
277,5,92.0,27.0,74.0
278,10,122.0,33.0,179.0
279,10,107.0,21.0,141.0
280,5,166.0,46.0,112.0
281,5,54.0,15.0,36.0
282,10,58.0,19.0,126.0
283,5,126.0,36.0,81.0
284,5,115.0,32.0,105.0
285,5,117.0,35.0,138.0
286,10,116.0,32.0,114.0
287,5,96.0,32.0,76.0
288,10,79.0,26.0,83.0
289,5,87.0,23.0,29.0
290,5,147.0,46.0,116.0
291,10,117.0,26.0,170.0
292,10,108.0,28.0,120.0
293,10,139.0,29.0,159.0
294,10,122.0,31.0,136.0
295,99999,99999.0,99999.0,22.0
296,5,43.0,9.0,21.0
297,5,150.0,52.0,139.0
298,10,110.0,28.0,100.0
299,10,86.0,25.0,126.0
300,5,162.0,39.0,114.0
301,5,166.0,39.0,104.0
302,5,156.0,51.0,163.0
303,5,101.0,36.0,147.0
304,5,136.0,34.0,152.0
305,10,146.0,35.0,125.0
306,5,84.0,30.0,37.0
307,20,89.0,32.0,252.0
308,5,129.0,32.0,31.0
309,5,72.0,19.0,42.0
310,5,60.0,13.0,36.0
311,5,51.0,21.0,68.0
312,5,153.0,34.0,82.0
313,10,89.0,26.0,58.0
314,5,162.0,45.0,154.0
315,10,113.0,23.0,122.0
316,10,90.0,24.0,101.0
317,20,85.0,21.0,92.0
318,5,125.0,39.0,71.0
319,10,75.0,23.0,62.0
320,10,102.0,28.0,56.0
321,5,129.0,31.0,63.0
322,10,88.0,32.0,132.0
323,5,130.0,41.0,32.0
324,5,140.0,37.0,61.0
325,99999,99999.0,99999.0,203.0
326,5,125.0,34.0,89.0
327,5,114.0,29.0,40.0
328,5,107.0,34.0,45.0
329,10,79.0,19.0,78.0
330,10,117.0,34.0,164.0
331,10,86.0,22.0,86.0
332,10,126.0,32.0,251.0
333,10,115.0,31.0,163.0
334,10,95.0,24.0,95.0
335,5,134.0,38.0,107.0
336,5,167.0,52.0,122.0
337,5,112.0,24.0,113.0
338,10,83.0,18.0,96.0
339,5,111.0,28.0,78.0
340,20,100.0,24.0,126.0
341,10,99.0,27.0,80.0
342,10,92.0,25.0,114.0
343,5,140.0,47.0,74.0
344,10,125.0,45.0,154.0
345,5,85.0,25.0,29.0
346,99999,99999.0,99999.0,19.0
347,10,63.0,21.0,61.0
348,20,85.0,15.0,110.0
349,5,108.0,31.0,48.0
350,5,113.0,33.0,81.0
351,10,94.0,28.0,136.0
352,10,97.0,26.0,126.0
353,5,143.0,44.0,74.0
354,10,112.0,26.0,79.0
355,10,107.0,30.0,184.0
356,5,156.0,50.0,102.0
357,10,118.0,30.0,105.0
358,10,99.0,27.0,121.0
359,10,75.0,21.0,90.0
360,5,85.0,23.0,66.0
361,5,97.0,19.0,37.0
362,5,80.0,25.0,35.0
363,10,85.0,28.0,65.0
364,20,79.0,16.0,94.0
365,10,68.0,15.0,40.0
366,10,87.0,26.0,78.0
367,10,102.0,26.0,154.0
368,5,159.0,55.0,81.0
369,10,89.0,30.0,138.0
370,5,150.0,43.0,113.0
371,10,123.0,33.0,91.0
372,10,69.0,22.0,81.0
373,20,74.0,18.0,145.0
374,10,104.0,26.0,128.0
375,10,112.0,36.0,82.0
376,10,110.0,34.0,210.0
377,20,99.0,26.0,197.0
378,20,109.0,33.0,229.0
379,20,91.0,24.0,235.0
380,5,120.0,37.0,81.0
381,5,121.0,32.0,36.0
382,10,84.0,23.0,101.0
383,10,102.0,29.0,161.0
384,99999,99999.0,99999.0,106.0
385,10,153.0,37.0,138.0
386,10,103.0,30.0,113.0
387,5,121.0,38.0,57.0
388,5,144.0,46.0,94.0
389,10,129.0,24.0,182.0
390,10,122.0,33.0,156.0
391,20,108.0,24.0,175.0
392,10,168.0,51.0,146.0
393,10,110.0,26.0,171.0
394,5,56.0,15.0,29.0
395,10,157.0,29.0,80.0
396,10,119.0,35.0,139.0
397,10,130.0,33.0,100.0
398,10,130.0,27.0,185.0
399,10,152.0,40.0,207.0
400,5,66.0,29.0,39.0
401,10,135.0,41.0,130.0
402,10,87.0,27.0,79.0
403,10,145.0,39.0,234.0
404,20,84.0,19.0,288.0
405,20,85.0,24.0,167.0
406,5,145.0,40.0,130.0
407,10,92.0,32.0,151.0
408,5,82.0,22.0,59.0
409,5,42.0,10.0,27.0
410,5,120.0,35.0,72.0
411,10,118.0,30.0,191.0
412,5,67.0,35.0,44.0
413,10,115.0,37.0,223.0
414,10,127.0,40.0,293.0
415,20,102.0,26.0,245.0
416,5,120.0,29.0,45.0
417,10,117.0,35.0,98.0
418,5,92.0,32.0,46.0
419,10,149.0,42.0,196.0
420,20,111.0,27.0,316.0
421,10,128.0,38.0,95.0
422,20,89.0,19.0,175.0
423,5,131.0,37.0,59.0
424,5,91.0,30.0,47.0
425,99999,99999.0,99999.0,23.0
426,5,104.0,30.0,38.0
427,5,78.0,19.0,20.0
428,10,155.0,41.0,211.0
429,20,90.0,25.0,281.0
430,99999,99999.0,99999.0,147.0
431,5,101.0,33.0,62.0
432,99999,99999.0,99999.0,26.0
433,5,62.0,21.0,22.0
434,10,76.0,20.0,90.0
435,20,86.0,26.0,363.0
436,20,88.0,23.0,194.0
437,10,119.0,35.0,230.0
438,20,65.0,18.0,190.0
439,10,115.0,35.0,191.0
440,5,133.0,34.0,58.0
441,5,149.0,47.0,104.0
442,99999,99999.0,99999.0,22.0
443,5,56.0,14.0,33.0
444,5,56.0,16.0,39.0
445,99999,99999.0,99999.0,20.0
446,5,43.0,11.0,27.0
447,5,110.0,28.0,63.0
448,5,120.0,33.0,68.0
449,5,120.0,25.0,145.0
450,10,101.0,28.0,112.0
451,10,114.0,37.0,180.0
452,20,108.0,23.0,245.0
453,5,133.0,32.0,59.0
454,5,98.0,29.0,58.0
455,10,118.0,24.0,135.0
456,10,74.0,22.0,56.0
457,20,112.0,24.0,178.0
458,20,142.0,24.0,389.0
459,5,66.0,18.0,39.0
460,5,103.0,23.0,35.0
461,10,104.0,24.0,63.0
462,5,85.0,24.0,38.0
463,5,134.0,32.0,72.0
464,99999,99999.0,99999.0,25.0
465,5,90.0,17.0,99.0
466,99999,99999.0,99999.0,48.0
467,99999,99999.0,99999.0,13.0
468,99999,99999.0,99999.0,13.0
469,99999,99999.0,99999.0,21.0
470,5,57.0,18.0,36.0
471,5,91.0,28.0,37.0
472,5,112.0,32.0,60.0
473,10,110.0,30.0,189.0
474,10,120.0,32.0,188.0
475,10,86.0,27.0,174.0
476,10,86.0,30.0,135.0
477,5,95.0,19.0,33.0
478,10,81.0,25.0,117.0
479,10,58.0,19.0,81.0
480,10,81.0,22.0,116.0
481,10,101.0,23.0,74.0
482,10,81.0,20.0,151.0
483,10,167.0,32.0,133.0
484,5,108.0,35.0,50.0
485,10,90.0,27.0,103.0
486,10,113.0,33.0,214.0
487,5,96.0,26.0,67.0
488,5,52.0,19.0,30.0
489,5,69.0,27.0,39.0
490,5,103.0,28.0,61.0
491,5,69.0,16.0,22.0
492,99999,99999.0,99999.0,19.0
493,5,65.0,15.0,36.0
494,99999,99999.0,99999.0,33.0
495,5,61.0,21.0,59.0
496,5,95.0,27.0,98.0
497,99999,99999.0,99999.0,45.0
498,10,158.0,57.0,335.0
499,5,147.0,60.0,225.0
500,5,145.0,46.0,135.0
501,20,94.0,24.0,200.0
502,10,118.0,44.0,153.0
503,20,94.0,27.0,265.0
504,20,136.0,31.0,364.0
505,10,165.0,43.0,197.0
506,10,121.0,45.0,143.0
507,10,88.0,26.0,109.0
508,10,91.0,25.0,136.0
509,5,86.0,24.0,44.0
510,10,119.0,38.0,164.0
511,10,123.0,33.0,91.0
512,99999,99999.0,99999.0,91.0
513,5,88.0,24.0,37.0
514,5,54.0,16.0,40.0
515,5,43.0,10.0,21.0
516,5,131.0,35.0,48.0
517,5,63.0,17.0,20.0
518,99999,99999.0,99999.0,7.0
519,99999,99999.0,99999.0,21.0
520,99999,99999.0,99999.0,5.0
521,99999,99999.0,99999.0,18.0
522,99999,99999.0,99999.0,21.0
523,5,82.0,20.0,25.0
524,5,57.0,16.0,33.0
525,5,110.0,27.0,31.0
526,20,116.0,33.0,333.0
527,10,107.0,42.0,160.0
528,5,122.0,25.0,107.0
529,10,137.0,33.0,168.0
530,20,111.0,31.0,257.0
531,5,155.0,45.0,82.0
532,20,116.0,29.0,198.0
533,5,151.0,51.0,114.0
534,10,113.0,29.0,80.0
535,5,158.0,41.0,84.0
536,5,111.0,40.0,25.0
537,5,115.0,29.0,58.0
538,5,91.0,22.0,38.0
539,5,97.0,25.0,48.0
540,5,55.0,13.0,31.0
541,5,43.0,14.0,20.0
542,99999,99999.0,99999.0,30.0
543,99999,99999.0,99999.0,19.0
544,99999,99999.0,99999.0,2.0
545,99999,99999.0,99999.0,13.0
546,5,99.0,24.0,40.0
547,5,82.0,23.0,27.0
548,5,108.0,27.0,39.0
549,5,53.0,18.0,30.0
550,5,54.0,14.0,27.0
551,99999,99999.0,99999.0,37.0
552,5,65.0,16.0,26.0
553,5,64.0,17.0,47.0
554,5,66.0,12.0,22.0
555,99999,99999.0,99999.0,18.0
556,99999,99999.0,99999.0,27.0
557,99999,99999.0,99999.0,24.0
558,5,120.0,27.0,42.0
559,5,136.0,41.0,48.0
560,10,162.0,38.0,185.0
561,5,141.0,48.0,64.0
562,20,104.0,25.0,278.0
563,5,158.0,40.0,132.0
564,5,98.0,26.0,96.0
565,5,92.0,26.0,42.0
566,5,48.0,16.0,32.0
567,99999,99999.0,99999.0,7.0
568,99999,99999.0,99999.0,37.0
569,99999,99999.0,99999.0,23.0
570,99999,99999.0,99999.0,15.0
571,99999,99999.0,99999.0,17.0
572,5,45.0,11.0,35.0
573,5,67.0,15.0,33.0
574,5,52.0,11.0,26.0
575,99999,99999.0,99999.0,20.0
576,99999,99999.0,99999.0,31.0
577,99999,99999.0,99999.0,23.0
578,10,148.0,43.0,145.0
579,5,105.0,29.0,84.0
580,10,83.0,25.0,93.0
581,10,127.0,36.0,151.0
582,20,117.0,30.0,372.0
583,10,92.0,30.0,98.0
584,10,73.0,28.0,70.0
585,10,122.0,33.0,132.0
586,10,123.0,26.0,75.0
587,99999,99999.0,99999.0,31.0
588,5,55.0,24.0,35.0
589,99999,99999.0,99999.0,21.0
590,5,70.0,19.0,31.0
591,99999,99999.0,99999.0,12.0
592,99999,99999.0,99999.0,10.0
593,5,42.0,10.0,28.0
594,5,63.0,19.0,53.0
595,5,102.0,30.0,83.0
596,20,138.0,40.0,184.0
597,99999,99999.0,99999.0,220.0
598,20,99.0,31.0,162.0
599,10,162.0,47.0,155.0
600,99999,99999.0,99999.0,59.0
601,10,117.0,37.0,104.0
602,10,100.0,27.0,149.0
603,10,86.0,28.0,107.0
604,20,83.0,23.0,274.0
605,5,63.0,28.0,46.0
606,5,84.0,25.0,61.0
607,5,85.0,24.0,65.0
608,99999,99999.0,99999.0,44.0
609,5,86.0,25.0,55.0
610,99999,99999.0,99999.0,31.0
611,10,157.0,38.0,160.0
612,10,136.0,38.0,224.0
613,5,168.0,39.0,150.0
614,10,95.0,24.0,160.0
615,10,91.0,20.0,117.0
616,5,147.0,43.0,137.0
617,99999,99999.0,99999.0,18.0
618,5,100.0,26.0,34.0
619,10,105.0,36.0,163.0
620,10,86.0,29.0,72.0
621,20,108.0,28.0,338.0
622,99999,99999.0,99999.0,190.0
623,5,107.0,40.0,52.0
624,5,144.0,37.0,60.0
625,10,94.0,27.0,59.0
626,10,91.0,22.0,93.0
627,5,142.0,43.0,56.0
628,5,126.0,36.0,119.0
629,5,126.0,36.0,69.0
630,5,126.0,34.0,74.0
631,5,85.0,25.0,49.0
632,5,106.0,28.0,57.0
633,5,55.0,15.0,23.0
634,5,54.0,15.0,33.0
635,5,127.0,31.0,59.0
636,99999,99999.0,99999.0,27.0
637,5,151.0,27.0,54.0
638,5,102.0,29.0,47.0
639,5,96.0,32.0,56.0
640,5,136.0,34.0,59.0
641,5,121.0,33.0,78.0
642,5,63.0,16.0,48.0
643,5,93.0,24.0,77.0
644,99999,99999.0,99999.0,30.0
645,5,65.0,20.0,44.0
646,5,142.0,37.0,84.0
647,10,102.0,24.0,51.0
648,10,121.0,27.0,132.0
649,5,101.0,23.0,56.0
650,20,96.0,25.0,216.0
651,20,115.0,33.0,416.0
652,10,155.0,50.0,326.0
653,10,114.0,32.0,138.0
654,99999,99999.0,99999.0,50.0
655,5,85.0,28.0,75.0
656,5,151.0,39.0,71.0
657,5,58.0,25.0,24.0
658,5,129.0,28.0,34.0
659,99999,99999.0,99999.0,25.0
660,5,105.0,27.0,63.0
661,99999,99999.0,99999.0,33.0
662,99999,99999.0,99999.0,48.0
663,5,97.0,23.0,56.0
664,5,93.0,36.0,51.0
665,10,120.0,30.0,48.0
666,5,97.0,28.0,35.0
667,99999,99999.0,99999.0,43.0
668,5,70.0,15.0,45.0
669,5,32.0,12.0,18.0
670,99999,99999.0,99999.0,10.0
671,5,40.0,9.0,25.0
672,5,50.0,12.0,37.0
673,10,152.0,42.0,98.0
674,20,135.0,35.0,190.0
675,10,148.0,50.0,240.0
676,10,81.0,23.0,152.0
677,5,148.0,35.0,57.0
678,5,170.0,46.0,66.0
679,5,136.0,34.0,60.0
680,10,77.0,23.0,51.0
681,99999,99999.0,99999.0,23.0
682,5,106.0,27.0,44.0
683,10,87.0,24.0,77.0
684,99999,99999.0,99999.0,37.0
685,5,108.0,34.0,97.0
686,99999,99999.0,99999.0,113.0
687,10,85.0,25.0,115.0
688,99999,99999.0,99999.0,56.0
689,5,124.0,35.0,79.0
690,5,75.0,21.0,61.0
691,10,138.0,29.0,66.0
692,10,96.0,27.0,52.0
693,10,116.0,23.0,104.0
694,10,91.0,20.0,51.0
695,5,135.0,34.0,57.0
696,5,68.0,25.0,60.0
697,5,77.0,25.0,24.0
698,10,147.0,42.0,187.0
699,20,106.0,25.0,296.0
700,20,109.0,33.0,282.0
701,20,85.0,26.0,178.0
702,20,107.0,32.0,302.0
703,20,116.0,31.0,238.0
704,20,69.0,17.0,268.0
705,10,72.0,24.0,69.0
706,5,86.0,21.0,58.0
707,5,154.0,56.0,149.0
708,10,128.0,48.0,211.0
709,5,83.0,22.0,38.0
710,5,123.0,26.0,66.0
711,5,119.0,36.0,72.0
712,5,106.0,31.0,88.0
713,5,139.0,51.0,141.0
714,5,93.0,33.0,59.0
715,5,81.0,46.0,86.0
716,10,72.0,23.0,58.0
717,5,96.0,38.0,103.0
718,10,86.0,22.0,68.0
719,10,124.0,34.0,166.0
720,10,82.0,28.0,93.0
721,5,150.0,41.0,127.0
722,10,118.0,36.0,222.0
723,5,35.0,12.0,21.0
724,99999,99999.0,99999.0,23.0
725,10,138.0,42.0,158.0
726,20,90.0,21.0,156.0
727,10,167.0,62.0,198.0
728,10,108.0,34.0,89.0
729,20,79.0,22.0,133.0
730,20,132.0,25.0,241.0
731,10,110.0,29.0,170.0
732,10,79.0,21.0,50.0
733,10,122.0,36.0,246.0
734,10,120.0,30.0,154.0
735,10,84.0,25.0,88.0
736,5,152.0,32.0,63.0
737,5,64.0,19.0,27.0
738,99999,99999.0,99999.0,42.0
739,5,84.0,28.0,48.0
740,5,107.0,30.0,71.0
741,5,147.0,47.0,137.0
742,10,125.0,33.0,164.0
743,5,134.0,44.0,130.0
744,5,151.0,48.0,180.0
745,10,153.0,37.0,115.0
746,10,148.0,41.0,91.0
747,10,103.0,32.0,126.0
748,10,134.0,34.0,151.0
749,10,92.0,24.0,68.0
750,10,101.0,32.0,216.0
751,99999,99999.0,99999.0,377.0
752,99999,99999.0,99999.0,33.0
753,99999,99999.0,99999.0,39.0
754,5,52.0,19.0,59.0
755,5,112.0,35.0,148.0
756,5,72.0,20.0,88.0
757,20,94.0,22.0,287.0
758,10,140.0,38.0,192.0
759,10,147.0,43.0,198.0
760,10,124.0,32.0,257.0
761,10,113.0,36.0,226.0
762,10,106.0,38.0,265.0
763,10,129.0,35.0,125.0
764,10,133.0,45.0,189.0
765,20,96.0,21.0,161.0
766,10,150.0,29.0,141.0
767,99999,99999.0,99999.0,57.0
768,10,119.0,31.0,131.0
769,10,105.0,27.0,180.0
770,10,112.0,37.0,105.0
771,20,90.0,26.0,163.0
