ID,predvyber_ANO
16,1
28,1
52,1
104,1
138,1
226,1
321,1
874,1
900,1
1263,1
1317,1
1346,1
1402,1
1436,1
1437,1
1495,1
1543,1
1546,1
1638,1
1844,1
1854,1
1890,1
1891,1
2211,1
2269,1
2276,1
2279,1
2398,1
3088,1
3440,1
3612,1
3671,1
3716,1
3719,1
3762,1
3926,1
4330,1
4342,1
4343,1
4382,1
4546,1
4571,1
4709,1
5238,1
5823,1
5824,1
5869,1
5872,1
5962,1
6044,1
6081,1
6085,1
6092,1
6174,1
6175,1
6177,1
6274,1
6501,1
6540,1
6577,1
6697,1
6727,1
6862,1
7330,1
7356,1
7378,1
7777,1
7805,1
7898,1
7957,1
8000,1
8223,1
8229,1
8313,1
8415,1
8625,1
8640,1
8665,1
8836,1
10097,1
10098,1
10148,1
10188,1
10242,1
10338,1
10375,1
10411,1
10493,1
10494,1
10495,1
10786,1
10873,1
10889,1
10904,1
10997,1
11015,1
11325,1
12037,1
12269,1
12270,1
12317,1
12347,1
12357,1
12362,1
12411,1
12492,1
12493,1
12503,1
12582,1
12663,1
12664,1
12761,1
12947,1
12964,1
12985,1
13005,1
13159,1
13179,1
13844,1
14429,1
14430,1
14477,1
14508,1
14519,1
14657,1
14658,1
14697,1
14708,1
14795,1
14832,1
15117,1
15121,1
15134,1
15173,1
15175,1
15812,1
16001,1
16402,1
16491,1
16577,1
16583,1
16630,1
16636,1
16729,1
16861,1
16948,1
16950,1
17058,1
17306,1
17347,1
17366,1
17414,1
18127,1
18515,1
18576,1
18603,1
18660,1
18694,1
18695,1
18748,1
18960,1
19009,1
19015,1
19024,1
19043,1
19103,1
19104,1
19169,1
19419,1
19434,1
19435,1
19473,1
19491,1
19510,1
19798,1
19937,1
20258,1
20695,1
20763,1
20791,1
20828,1
20850,1
20879,1
20909,1
21018,1
21020,1
21141,1
21148,1
21156,1
21237,1
21238,1
21337,1
21543,1
21551,1
21564,1
21582,1
21602,1
21622,1
21625,1
21710,1
22077,1
22313,1
22411,1
22852,1
22863,1
22981,1
23005,1
23035,1
23064,1
23174,1
23215,1
23264,1
23388,1
23716,1
23739,1
23775,1
23863,1
24569,1
24724,1
25025,1
25137,1
25138,1
25142,1
25338,1
25388,1
25412,1
25428,1
25465,1
25469,1
25476,1
25551,1
25553,1
25892,1
25916,1
26728,1
26729,1
26840,1
27240,1
27300,1
27347,1
27494,1
27531,1
27565,1
27581,1
27629,1
27665,1
27706,1
27707,1
27741,1
27777,1
28028,1
28111,1
28550,1
29093,1
29448,1
29450,1
29533,1
29644,1
29683,1
29715,1
29718,1
29732,1
29857,1
30158,1
30169,1
30189,1
30193,1
30211,1
30394,1
30707,1
31028,1
31425,1
31594,1
31596,1
31598,1
31641,1
31677,1
31747,1
31788,1
31826,1
31837,1
31859,1
31920,1
31961,1
32001,1
32297,1
32326,1
32329,1
32344,1
32346,1
32384,1
32560,1
33178,1
33287,1
33619,1
33747,1
33749,1
33750,1
33751,1
33805,1
33900,1
33943,1
33983,1
33994,1
33996,1
34018,1
34034,1
34080,1
34099,1
34112,1
34155,1
